"";"loc_1";"loc_2";"Distance"
"1";"A";"A";0
"2";"B";"A";6,97059098482111
"3";"C";"A";20,2888168223775
"4";"D";"A";21,2988777814708
"5";"E";"A";23,6042593504859
"6";"F";"A";27,0384095519906
"7";"G";"A";37,8513778648915
"8";"H";"A";47,0147909451124
"9";"I";"A";53,4978895478921
"10";"J";"A";56,2453804102113
"11";"K";"A";70,4771233257026
"12";"L";"A";74,0318561379019
"13";"M";"A";71,5477700434876
"14";"N";"A";70,8586277129316
"15";"O";"A";75,3838989013329
"16";"P";"A";86,1796822567229
"17";"Q";"A";92,8443254267202
"18";"R";"A";97,1085756546178
"19";"S";"A";100,072189935035
"20";"A";"B";6,97059098482111
"21";"B";"B";0
"22";"C";"B";16,3994518577564
"23";"D";"B";18,3844141984603
"24";"E";"B";19,1162726966381
"25";"F";"B";21,6398076436736
"26";"G";"B";30,8885885193275
"27";"H";"B";46,9293171827719
"28";"I";"B";54,0297904484913
"29";"J";"B";56,9010248292708
"30";"K";"B";71,9418479057446
"31";"L";"B";75,3512841101614
"32";"M";"B";72,4201897593922
"33";"N";"B";71,4054278733546
"34";"O";"B";76,0741693526205
"35";"P";"B";86,0034474422654
"36";"Q";"B";91,8853414759007
"37";"R";"B";96,3523458143487
"38";"S";"B";99,1691444472129
"39";"A";"C";20,2888168223775
"40";"B";"C";16,3994518577564
"41";"C";"C";0
"42";"D";"C";3,40448333456203
"43";"E";"C";3,70964649321506
"44";"F";"C";8,61973991785742
"45";"G";"C";29,2396583030215
"46";"H";"C";33,3239125058547
"47";"I";"C";41,1286327333691
"48";"J";"C";44,1042814196266
"49";"K";"C";60,125533493917
"50";"L";"C";63,2042152173768
"51";"M";"C";59,5819589089456
"52";"N";"C";58,0767076646536
"53";"O";"C";62,8837180117455
"54";"P";"C";71,5032549038673
"55";"Q";"C";76,5155146013249
"56";"R";"C";81,1516777351457
"57";"S";"C";83,8174002154584
"58";"A";"D";21,2988777814708
"59";"B";"D";18,3844141984603
"60";"C";"D";3,40448333456203
"61";"D";"D";0
"62";"E";"D";5,69185968693988
"63";"F";"D";10,8476255621452
"64";"G";"D";32,4453935333924
"65";"H";"D";30,1019760791696
"66";"I";"D";37,839388365157
"67";"J";"D";40,8103913804008
"68";"K";"D";56,7753078802858
"69";"L";"D";59,8789027824715
"70";"M";"D";56,3151727205317
"71";"N";"D";54,8673862869996
"72";"O";"D";59,6619208593297
"73";"P";"D";68,5234255253615
"74";"Q";"D";73,8094903649353
"75";"R";"D";78,3840685731172
"76";"S";"D";81,1079370709319
"77";"A";"E";23,6042593504859
"78";"B";"E";19,1162726966381
"79";"C";"E";3,70964649321506
"80";"D";"E";5,69185968693988
"81";"E";"E";0
"82";"F";"E";5,17405267393975
"83";"G";"E";27,1711489039534
"84";"H";"E";33,4213510974825
"85";"I";"E";41,4160027855752
"86";"J";"E";44,396674410688
"87";"K";"E";60,6413396862339
"88";"L";"E";63,5804660634688
"89";"M";"E";59,7174953428865
"90";"N";"E";58,0184731580257
"91";"O";"E";62,8538826512106
"92";"P";"E";70,8211005352577
"93";"Q";"E";75,303780257461
"94";"R";"E";80,0385646916188
"95";"S";"E";82,600127475541
"96";"A";"F";27,0384095519906
"97";"B";"F";21,6398076436736
"98";"C";"F";8,61973991785742
"99";"D";"F";10,8476255621452
"100";"E";"F";5,17405267393975
"101";"F";"F";0
"102";"G";"F";22,8861397105401
"103";"H";"F";36,5043356397638
"104";"I";"F";44,6135141118549
"105";"J";"F";47,5751542512058
"106";"K";"F";63,965829890415
"107";"L";"F";66,7452231419996
"108";"M";"F";62,6332468934488
"109";"N";"F";60,7208867662913
"110";"O";"F";65,5663891141627
"111";"P";"F";72,6934014340759
"112";"Q";"F";76,4305527473606
"113";"R";"F";81,2895802896049
"114";"S";"F";83,6939063974888
"115";"A";"G";37,8513778648915
"116";"B";"G";30,8885885193275
"117";"C";"G";29,2396583030215
"118";"D";"G";32,4453935333924
"119";"E";"G";27,1711489039534
"120";"F";"G";22,8861397105401
"121";"G";"G";0
"122";"H";"G";59,0546611057
"123";"I";"G";67,1897723465753
"124";"J";"G";70,1210260968767
"125";"K";"G";86,5608811649356
"126";"L";"G";89,1970488700404
"127";"M";"G";84,8548592142211
"128";"N";"G";82,7114821394363
"129";"O";"G";87,5358782184219
"130";"P";"G";93,3251578959894
"131";"Q";"G";95,5186399690939
"132";"R";"G";100,579910837984
"133";"S";"G";102,60000332763
"134";"A";"H";47,0147909451124
"135";"B";"H";46,9293171827719
